STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2010,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,4.72375011444092,A,Annual,Central Europe and the Baltics,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAR,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2010,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,4.00675010681152,A,Annual,Early-demographic dividend,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAS,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2010,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,3.51003003120422,A,Annual,East Asia & Pacific,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAP,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2010,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,3.777189970016475,A,Annual,East Asia & Pacific (excluding high income),"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2007,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,4.59159994125366,A,Annual,Central Europe and the Baltics,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAR,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2007,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,3.60984992980957,A,Annual,Early-demographic dividend,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAS,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2007,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,3.178879976272585,A,Annual,East Asia & Pacific,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,UZB,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2014,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,5.71323013305664,A,Annual,Uzbekistan,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VUT,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2014,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,5.18195009231567,A,Annual,Vanuatu,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VNM,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2014,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,3.54012312110584,A,Annual,Vietnam,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2014,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,5.15225706811611,A,Annual,Zambia,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2014,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,6.13835000991821,A,Annual,Zimbabwe,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFE,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2015,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,4.73791868878759,A,Annual,Eastern & Southern Africa,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFW,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2015,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,3.13882994651794,A,Annual,Western & Central Africa,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CSS,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2015,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,4.42459330779419,A,Annual,Caribbean small states,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,VNM,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2013,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,4.52833986282349,A,Annual,Vietnam,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2013,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,4.89467000961304,A,Annual,West Bank and Gaza,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2013,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,3.71820710892018,A,Annual,Zambia,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2013,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,5.99597978591919,A,Annual,Zimbabwe,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFE,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2014,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,4.6596598625183105,A,Annual,Eastern & Southern Africa,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFW,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2014,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,2.66667008399963,A,Annual,Western & Central Africa,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CSS,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2014,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,3.59013796983043,A,Annual,Caribbean small states,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2010,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,3.41600445393739,A,Annual,Zambia,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2010,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,1.54405999183655,A,Annual,Zimbabwe,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFE,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,4.6390145225047394,A,Annual,Eastern & Southern Africa,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFW,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,2.65336990356445,A,Annual,Western & Central Africa,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CSS,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,3.85078840215008,A,Annual,Caribbean small states,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CEB,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,4.5631799697876,A,Annual,Central Europe and the Baltics,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAR,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,3.8705799579620352,A,Annual,Early-demographic dividend,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAS,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,3.5117499828338596,A,Annual,East Asia & Pacific,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EAP,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,3.7802300453186,A,Annual,East Asia & Pacific (excluding high income),"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TEA,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,3.7802300453186,A,Annual,East Asia & Pacific (IDA & IBRD),"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,EMU,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,5.19892978668213,A,Annual,Euro area,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ECS,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,4.85663986206055,A,Annual,Europe & Central Asia,"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ECA,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2011,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,4.004330158233645,A,Annual,Europe & Central Asia (excluding high income),"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SSA,WB_WDI_SE_XPD_TOTL_GD_ZS,_T,_T,_T,PT_GDP,_Z,_Z,_Z,2012,_Z,RATIO,2,WB_WDI,P1Y,"Government expenditure on education, total (% of GDP)",0,WB_WDI,PU,3.37651991844177,A,Annual,Sub-Saharan Africa (excluding high income),"Government expenditure on education, total (% of GDP)",Total,All age ranges or no breakdown by age,Total,Percentage of GDP,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
